key,P,fwd_return
2026-05-08-live-4c9e53e5|LMT|buy|1,0.36492837266642886,0.011332431982994828
2026-05-08-live-4c9e53e5|ON|buy|1,0.34115914665472963,0.039147296850730706
2026-05-08-live-5afe02ce|GS|buy|1,0.3554910172151491,0.008948407929252111
2026-05-08-live-5afe02ce|HD|buy|1,0.36492837266642886,-0.01905817633612572
2026-05-08-live-5afe02ce|SPOT|buy|1,0.35244461539666977,0.003996873085712727
2026-05-08-live-abfd9673|ABBV|buy|1,0.38271213365913326,0.00610268275323822
2026-05-08-live-abfd9673|SOFI|buy|1,0.3971557475238637,0.032380966913132525
2026-05-08-live-f1025e21|LMT|buy|1,0.36492837266642886,0.011332431982994828
2026-05-08-live-f1025e21|ON|buy|1,0.34115914665472963,0.039147296850730706
2026-05-08-live-f1025e21|SPOT|buy|1,0.35244461539666977,0.003996873085712727
2026-05-18-live-53ae6b87|DUK|buy|1,0.8839307234079926,0.014001964115759158
2026-05-18-live-53ae6b87|MCD|buy|1,0.8877873589931915,-0.00591217977313474
2026-05-18-live-efe3c6b2|MCD|sell|1,0.8877873589931915,-0.00591217977313474
2026-05-20-live-1e43ce57|TXN|sell|1,0.8819845606635975,-0.021287031390823996
2026-05-08-live-4c9e53e5|LMT|buy|5,0.36492837266642886,0.018755799129015926
2026-05-08-live-4c9e53e5|ON|buy|5,0.34115914665472963,0.09602717010814965
2026-05-08-live-5afe02ce|GS|buy|5,0.3554910172151491,0.012803253122798619
2026-05-08-live-5afe02ce|HD|buy|5,0.36492837266642886,-0.06281304669915078
2026-05-08-live-5afe02ce|SPOT|buy|5,0.35244461539666977,0.04573634368828494
2026-05-08-live-abfd9673|ABBV|buy|5,0.38271213365913326,0.043860065512479895
2026-05-08-live-abfd9673|SOFI|buy|5,0.3971557475238637,-0.008888910687159024
2026-05-08-live-f1025e21|LMT|buy|5,0.36492837266642886,0.018755799129015926
2026-05-08-live-f1025e21|ON|buy|5,0.34115914665472963,0.09602717010814965
2026-05-08-live-f1025e21|SPOT|buy|5,0.35244461539666977,0.04573634368828494
2026-05-08-live-4c9e53e5|LMT|buy|10,0.36492837266642886,0.05277285730467329
2026-05-08-live-4c9e53e5|ON|buy|10,0.34115914665472963,0.1259689959731285
2026-05-08-live-5afe02ce|GS|buy|10,0.3554910172151491,0.06433666629994828
2026-05-08-live-5afe02ce|HD|buy|10,0.36492837266642886,-0.013797463267873455
2026-05-08-live-5afe02ce|SPOT|buy|10,0.35244461539666977,0.24419022582920902
2026-05-08-live-abfd9673|ABBV|buy|10,0.38271213365913326,0.0702058728962196
2026-05-08-live-abfd9673|SOFI|buy|10,0.3971557475238637,-0.008253975520058243
2026-05-08-live-f1025e21|LMT|buy|10,0.36492837266642886,0.05277285730467329
2026-05-08-live-f1025e21|ON|buy|10,0.34115914665472963,0.1259689959731285
2026-05-08-live-f1025e21|SPOT|buy|10,0.35244461539666977,0.24419022582920902
