,g
2024-02-02,0.02413106575917874
2024-02-05,0.01709262042093937
2024-02-06,0.10582168113422757
2024-02-07,0.13307623374649316
2024-02-08,0.06723582050420734
2024-02-09,0.03254320075661454
2024-02-12,0.08014359187992467
2024-02-13,0.0937541732679549
2024-02-14,-0.007746283044499536
2024-02-15,0.002063079620136743
2024-02-16,0.0011455042253367131
2024-02-20,0.054034789921389714
2024-02-21,0.0007837159128448457
2024-02-22,-0.0197932342342442
2024-02-23,0.03188242223780277
2024-02-26,0.046440163603962484
2024-02-27,0.0728888522852447
2024-02-28,0.07535182018254853
2024-02-29,0.026927887542608414
2024-03-01,0.02896273897134341
2024-03-04,0.04377140302494428
2024-03-05,0.037323483249717265
2024-03-06,0.021523301455063204
2024-03-07,0.050739096682307555
2024-03-08,0.07092845028115502
2024-03-11,0.03900850463501028
2024-03-12,0.06082693565213643
2024-03-13,0.07106264721588273
2024-03-14,0.08576118524833087
2024-03-15,0.032409044102887904
2024-03-18,0.08627249063366221
2024-03-19,0.083552511380012
2024-03-20,0.030617576401451033
2024-03-21,0.05773490130112756
2024-03-22,0.057170127149878666
2024-03-25,0.069818101191609
2024-03-26,0.027826926035945207
2024-03-27,0.045590197915454045
2024-03-28,0.023109573210773393
2024-04-01,0.02202406292903286
2024-04-02,0.014189526299644956
2024-04-03,0.02445178439303259
2024-04-04,0.027685961562158287
2024-04-05,0.035104536564124586
2024-04-08,0.049168760605305416
2024-04-09,0.0022222084290333677
2024-04-10,-0.04115948967708846
2024-04-11,-0.00888317212658872
2024-04-12,-0.013974302966873214
2024-04-15,0.016523687224807196
2024-04-16,-0.05768304443151123
2024-04-17,-0.06387760596073674
2024-04-18,-0.022746308586285152
2024-04-19,-0.01921991651128141
2024-04-22,-0.07989763886373694
2024-04-23,-0.08404118466352509
2024-04-24,-0.036097960666701345
2024-04-25,-0.028525558230984224
2024-04-26,-0.05113457636069612
2024-04-29,-0.04739007651153673
2024-04-30,0.009236654302894803
2024-05-01,0.0060051382435450384
2024-05-02,-0.0212847329658436
2024-05-03,0.015432828592196829
2024-05-06,-0.05931813089102975
2024-05-07,-0.030332248496282938
2024-05-08,-0.020777901666935356
2024-05-09,0.0029001237124461066
2024-05-10,-0.058155966610646204
2024-05-13,0.012501311903317297
2024-05-14,-0.01646430682220129
2024-05-15,0.0008673494523690206
2024-05-16,-0.03360163071753071
2024-05-17,0.028220067694329116
2024-05-20,-0.0020804994243299735
2024-05-21,0.020773205176782827
2024-05-22,-0.011108790397979403
2024-05-23,0.019948390584285772
2024-05-24,0.015116391942421635
2024-05-28,0.011720042073376069
2024-05-29,-0.023957571975775218
2024-05-30,-0.028400320579057343
2024-05-31,0.010968004882153604
2024-06-03,-0.017120208182621367
2024-06-04,0.02958664087008024
2024-06-05,0.011471647477291694
2024-06-06,-0.019743976002771738
2024-06-07,-0.01835696402319831
2024-06-10,-0.017181448964322943
2024-06-11,-0.008432089390209896
2024-06-12,-0.0016263336416449392
2024-06-13,-0.0441847954594633
2024-06-14,-0.00012295443471944945
2024-06-17,-0.023519879697826415
2024-06-18,-0.031206855430360156
2024-06-20,-0.0006412078544679456
2024-06-21,0.022079518887921007
2024-06-24,0.009466051485987725
2024-06-25,-0.00463777168203322
2024-06-26,0.029056828673129018
2024-06-27,0.033706410757345595
2024-06-28,0.019068106208778107
2024-07-01,0.04717575906436147
2024-07-02,-0.0029012663284156276
2024-07-03,0.04211061544945738
2024-07-05,-0.054025067190416665
2024-07-08,-0.0750914734057074
2024-07-09,-0.02347934109577124
2024-07-10,-0.014622149445901483
2024-07-11,-0.04971514258794543
2024-07-12,-0.035452002830675816
2024-07-15,-0.024194392610804444
2024-07-16,-0.027349037547065122
2024-07-17,0.007904361147640468
2024-07-18,0.0696363538879595
2024-07-19,0.0654252773336835
2024-07-22,0.04177907717249996
2024-07-23,-0.022473074150665767
2024-07-24,0.09500463859510343
2024-07-25,-0.012561789887416547
2024-07-26,0.07080512738490571
2024-07-29,0.004472746038864064
2024-07-30,0.08305501091299586
2024-07-31,-0.008586150455023832
2024-08-01,0.052893469726360304
2024-08-02,-0.02668292488364224
2024-08-05,0.13245028670741543
2024-08-06,0.018736349145077824
2024-08-07,0.03671400990092766
2024-08-08,0.009904081894392874
2024-08-09,0.06760714501995502
2024-08-12,0.009459445187315674
2024-08-13,0.04396546839432183
2024-08-14,-0.025257049530006515
2024-08-15,0.03373755280370455
2024-08-16,-0.01628716246683312
2024-08-19,0.04047641357988688
2024-08-20,-0.06178245899712462
2024-08-21,-0.011886849983462566
2024-08-22,-0.0411311997757461
2024-08-23,-0.014347170997242947
2024-08-26,0.016077579634409006
2024-08-27,0.006255789738029649
2024-08-28,-0.013612823679196251
2024-08-29,0.015338280622493011
2024-08-30,-0.036553112931460185
2024-09-03,0.02108617433718557
2024-09-04,-0.02778634058795479
2024-09-05,0.01300040542126174
2024-09-06,-0.019202864120165364
2024-09-09,0.06044513220806555
2024-09-10,-0.023148991093004834
2024-09-11,0.02071765844848894
2024-09-12,-0.0015851919846059104
2024-09-13,0.03681699625116405
2024-09-16,-0.033533897094459794
2024-09-17,0.05246987618333476
2024-09-18,0.07650545343725729
2024-09-19,0.015575661379850086
2024-09-20,0.03462094879033756
2024-09-23,0.0715042779711984
2024-09-24,0.05668925907131228
2024-09-25,0.08155607074669965
2024-09-26,0.013240235453941568
2024-09-27,0.03619901024932956
2024-09-30,0.06387377012332496
2024-10-01,0.04547352821837486
2024-10-02,-0.01169936183464948
2024-10-03,0.03378658681635721
2024-10-04,0.046839525907819424
2024-10-07,0.024092297766122095
2024-10-08,-0.05002628324827696
2024-10-09,-0.002829916501845553
2024-10-10,-0.005819838142996164
2024-10-11,-0.08885867236392578
2024-10-14,-0.07115108470279308
2024-10-15,-0.03306942834290144
2024-10-16,-0.049643634223035304
2024-10-17,-0.012626043234313933
2024-10-18,-0.08018208564304394
2024-10-21,-0.06533075306625219
2024-10-22,-0.025889925432434624
2024-10-23,-0.02586632500453162
2024-10-24,-0.04333207694578556
2024-10-25,-0.048232015586336996
2024-10-28,-0.014686238865655316
2024-10-29,-0.03977109101594889
2024-10-30,-0.03781389813908091
2024-10-31,-0.016965670444074932
2024-11-01,0.0274829082424225
2024-11-04,-0.01034037549106237
2024-11-05,0.02110301875128026
2024-11-06,-0.01497829225154143
2024-11-07,-0.06018307480653151
2024-11-08,-0.0658363529742966
2024-11-11,0.004465856221182327
2024-11-12,-0.04065965161637399
2024-11-13,-0.011654979708026508
2024-11-14,-0.030261014904597566
2024-11-15,0.02417578566270856
2024-11-18,0.0064466901768012175
2024-11-19,0.03980101645671075
2024-11-20,0.02263746966897104
2024-11-21,-0.001911413604067708
2024-11-22,-0.002440324603990282
