,g_control
2024-02-02,0.1396960786346795
2024-02-05,0.036836387759381584
2024-02-06,0.11618891132323433
2024-02-07,0.15813742510273038
2024-02-08,0.1524543560399601
2024-02-09,0.20996472501659152
2024-02-12,0.057908471301810954
2024-02-13,-0.01177502481157805
2024-02-14,0.2006947698410903
2024-02-15,0.0441368195577618
2024-02-16,0.03838384182727414
2024-02-20,0.04594386014960855
2024-02-21,-0.016026154176192214
2024-02-22,0.05390789108500178
2024-02-23,0.07476510080258587
2024-02-26,0.09764879079479502
2024-02-27,-0.0031054080988446586
2024-02-28,0.0342378762437045
2024-02-29,0.02109292132969673
2024-03-01,0.04516826398320786
2024-03-04,0.017608611639811644
2024-03-05,0.11247350644326513
2024-03-06,0.27237753303803725
2024-03-07,0.02981749579246143
2024-03-08,0.06219439982726871
2024-03-11,-0.0030879170039772863
2024-03-12,0.04830622640406673
2024-03-13,0.003668941399025488
2024-03-14,0.15960799141603074
2024-03-15,0.06074007178138057
2024-03-18,0.007527503124078946
2024-03-19,-0.03989059764134669
2024-03-20,0.03526230989004646
2024-03-21,-0.08124469372354748
2024-03-22,-0.0030820335231915574
2024-03-25,0.046421189189822
2024-03-26,-0.012745616229686112
2024-03-27,0.07836151486485031
2024-03-28,0.007273648636290472
2024-04-01,0.04752305534857937
2024-04-02,0.04873190215855379
2024-04-03,0.11935723782674876
2024-04-04,0.06425667560709716
2024-04-05,0.11075958672593224
2024-04-08,0.007754205384076249
2024-04-09,0.03540952850383719
2024-04-10,-0.04429387745453402
2024-04-11,-0.03151495906303035
2024-04-12,-0.06767904116457729
2024-04-15,0.02895278083276563
2024-04-16,-0.1616516131416314
2024-04-17,-0.016814897400289963
2024-04-18,-0.019846328694980375
2024-04-19,-0.0378189105724068
2024-04-22,0.06011099923283866
2024-04-23,0.0856875246717472
2024-04-24,0.039443083339948365
2024-04-25,-0.05789703812002302
2024-04-26,0.07530397223441267
2024-04-29,-0.002934642430148987
2024-04-30,0.0537749286432572
2024-05-01,0.12824159141997205
2024-05-02,0.08323659463544053
2024-05-03,0.12573331496249796
2024-05-06,0.08057865343776607
2024-05-07,0.13606368535307847
2024-05-08,0.22686304542714864
2024-05-09,0.16211597403259906
2024-05-10,0.11427506857233853
2024-05-13,0.09724400855319353
2024-05-14,0.05949955491935027
2024-05-15,-0.10033090270656267
2024-05-16,0.03842256628267868
2024-05-17,0.11212278161980722
2024-05-20,0.08665991934912909
2024-05-21,-0.012010713625952997
2024-05-22,-0.023108943570158358
2024-05-23,0.058474384110711465
2024-05-24,0.11575197736810298
2024-05-28,0.0433082808982314
2024-05-29,-0.0232208069359122
2024-05-30,0.1507106634500034
2024-05-31,0.03267688976890255
2024-06-03,-0.00448842236448159
2024-06-04,-0.09331078063214517
2024-06-05,0.04329768788823474
2024-06-06,0.12093998541376597
2024-06-07,-0.04711810256364633
2024-06-10,0.017544758413054085
2024-06-11,0.053190945657298455
2024-06-12,0.13982264921488602
2024-06-13,0.11182807951244102
2024-06-14,0.054129904163369505
2024-06-17,-0.011495265620641001
2024-06-18,-0.06692459916402498
2024-06-20,0.08438528939579332
2024-06-21,0.08890213072965991
2024-06-24,0.06747832053509205
2024-06-25,-0.022536720731590687
2024-06-26,0.06748451201301052
2024-06-27,0.07863796313512643
2024-06-28,0.028189065406430874
2024-07-01,0.05659608749670579
2024-07-02,0.1246000112503196
2024-07-03,0.13103025442139915
2024-07-05,0.13874941599277762
2024-07-08,0.07793703130053647
2024-07-09,0.040450347622063815
2024-07-10,0.023798534560387358
2024-07-11,0.08098387528105855
2024-07-12,0.11257917827575228
2024-07-15,-0.0458822703695361
2024-07-16,0.10036984018357031
2024-07-17,-0.04709622389034088
2024-07-18,-0.08880089589035947
2024-07-19,0.04963886085226133
2024-07-22,0.02574339187773393
2024-07-23,0.14034292564752918
2024-07-24,0.02977972334248304
2024-07-25,0.013443987007504696
2024-07-26,-0.1015266970907332
2024-07-29,-0.050886246827650784
2024-07-30,0.03660347896577712
2024-07-31,-0.07971593178690817
2024-08-01,-0.011880398308674878
2024-08-02,-0.17666921828889082
2024-08-05,-0.1414296409545019
2024-08-06,-0.05811219340122198
2024-08-07,-0.0863805662913984
2024-08-08,-0.1206255002991734
2024-08-09,0.01809393301157669
2024-08-12,-0.08099958325239116
2024-08-13,-0.055135669312636415
2024-08-14,0.030078986182299233
2024-08-15,-0.009893478749919887
2024-08-16,-0.06032052636176413
2024-08-19,0.05139197617092181
2024-08-20,0.009512293253861326
2024-08-21,0.0933175222993296
2024-08-22,-0.05885262810715855
2024-08-23,-0.2200507246690293
2024-08-26,0.00529055682732632
2024-08-27,0.03385865425286
2024-08-28,-0.027402324770122638
2024-08-29,-0.05253676769936594
2024-08-30,0.019920705373811964
2024-09-03,0.0755533175714743
2024-09-04,0.01412343713986991
2024-09-05,-0.08110486597875255
2024-09-06,-0.01852115029846424
2024-09-09,-0.09042665529732619
2024-09-10,-0.03724378608299145
2024-09-11,0.0014500107059574885
2024-09-12,0.04442955398325785
2024-09-13,-0.12165483406667235
2024-09-16,-0.0742461481805112
2024-09-17,-0.15393565172771295
2024-09-18,-0.005320052960491789
2024-09-19,0.012351135658812101
2024-09-20,-0.03734608938964207
2024-09-23,-0.11178752997203843
2024-09-24,0.08260834926231994
2024-09-25,-0.08626817551111313
2024-09-26,-0.03483118276181227
2024-09-27,0.029047890490008332
2024-09-30,0.024751953499572044
2024-10-01,-0.11093623703071827
2024-10-02,-0.17867948707264908
2024-10-03,0.0008991335830651204
2024-10-04,-0.009562743603497403
2024-10-07,0.028159224321861714
2024-10-08,-0.1216552338462932
2024-10-09,-0.09693221854453954
2024-10-10,0.044501503769234146
2024-10-11,0.014498842871106421
2024-10-14,-0.03457665511247754
2024-10-15,-0.07451482710857105
2024-10-16,-0.06809378751738507
2024-10-17,-0.054054861769567364
2024-10-18,-0.11646218098855374
2024-10-21,-0.07454444540488903
2024-10-22,-0.1641380529838406
2024-10-23,-0.0213797226409983
2024-10-24,-0.10211635983965944
2024-10-25,-0.16715198649699003
2024-10-28,-0.016325936953765247
2024-10-29,-0.04403445933601122
2024-10-30,-0.08189749989229975
2024-10-31,-0.13951087447330732
2024-11-01,-0.04029559820196921
2024-11-04,-0.042375565690705747
2024-11-05,-0.135865388458837
2024-11-06,-0.11786968274254474
2024-11-07,-0.07593163446517859
2024-11-08,-0.1000854277920599
2024-11-11,0.11094930279891833
2024-11-12,-0.030349747774405994
2024-11-13,0.03449728736787086
2024-11-14,-0.0024477457123736057
2024-11-15,-0.04168589301290393
2024-11-18,-0.044239346126449836
2024-11-19,0.14680927885110598
2024-11-20,-0.06196418167909658
2024-11-21,0.13114642980533325
2024-11-22,0.11969774767287858
2024-11-25,0.10222774256921138
2024-11-26,0.09499447132384947
2024-11-27,0.1609960038263305
2024-11-29,0.06737575729095377
2024-12-02,0.1101061981311171
2024-12-03,0.04278033881142694
2024-12-04,0.09299191456653683
2024-12-05,-0.004972343291074349
2024-12-06,0.14868468874841273
2024-12-09,0.10686988450860452
2024-12-10,0.07665709569908202
2024-12-11,0.06445763916806996
2024-12-12,0.07153955184000244
2024-12-13,0.07428331930751611
2024-12-16,0.11572053050199207
2024-12-17,0.1354825018121441
2024-12-18,0.09275906221871666
2024-12-19,0.08607033029361286
2024-12-20,0.06363312609045915
2024-12-23,0.10775984127324205
2024-12-24,0.13343790902760194
2024-12-26,0.12079178256638058
2024-12-27,0.1542816628307555
2024-12-30,0.08165715765090312
2024-12-31,0.20248122581926517
2025-01-02,0.09564004869665771
2025-01-03,0.12474335376470172
2025-01-06,0.08807314213221423
2025-01-07,0.14440594959470174
2025-01-08,0.09405270827265555
2025-01-10,0.16179106481496763
2025-01-13,0.10159067202769195
2025-01-14,0.04254450425738587
2025-01-15,0.17093817771057104
2025-01-16,0.14110228155108157
2025-01-17,0.20267818448996583
2025-01-21,0.05066763068830596
2025-01-22,0.17309722950017126
2025-01-23,0.09837525922571488
2025-01-24,0.12096809328329203
2025-01-27,0.06682868025624158
2025-01-28,0.028564117120156357
2025-01-29,0.118388669632749
2025-01-30,0.06895747651952985
2025-01-31,0.0731755702569768
2025-02-03,0.031904940066529774
2025-02-04,0.056853932117347655
2025-02-05,0.015028003145843044
2025-02-06,0.07716645579741478
2025-02-07,0.05683096999877618
2025-02-10,0.049879574208697014
2025-02-11,0.17252584618429923
2025-02-12,0.15968447421873477
2025-02-13,0.09438949292487668
