date,ic,n_names
2025-03-13,0.14746506115999675,142
2025-03-14,0.31051088557831147,142
2025-03-17,0.22177935227138448,142
2025-03-18,0.19954902753823942,142
2025-03-19,0.13094141647839658,142
2025-03-20,0.2607404582232272,142
2025-03-21,0.2714447673992175,142
2025-03-24,0.22175397272790143,142
2025-03-25,0.25199343659038,142
2025-03-26,0.2984737767476755,142
2025-03-27,0.2884885596005695,142
2025-03-28,0.2907494064221664,142
2025-03-31,0.31781613651556717,142
2025-04-01,0.3723226129579142,142
2025-04-02,0.34615279835537555,142
2025-04-03,0.2559834531665518,142
2025-04-04,0.2843494533635379,142
2025-04-07,0.2597597188547144,142
2025-04-08,0.27795788269267446,142
2025-04-09,0.14599395210722751,142
2025-04-10,0.3076063882177158,142
2025-04-11,0.21907579983696254,142
2025-04-14,0.32818934137483735,142
2025-04-15,0.053796069079257575,142
2025-04-16,0.28323040459690146,142
2025-04-17,0.18091078834261337,142
2025-04-21,0.26506577031000167,142
2025-04-22,0.029285967254202197,142
2025-04-23,0.28993212361507237,142
2025-04-24,0.20978811419326854,142
2025-04-25,0.3428585199637043,142
2025-04-28,0.10456400057838476,142
2025-04-29,0.23851874825803507,142
2025-04-30,0.07456762596109315,142
2025-05-01,0.16952331456377007,142
2025-05-02,0.11404867233455789,142
2025-05-05,0.24032096162752442,142
2025-05-06,0.07370424002129128,142
2025-05-07,0.21315364288094288,142
2025-05-08,0.10201156350392192,142
2025-05-09,0.19338378133703277,142
2025-05-12,0.11472764574352827,142
2025-05-13,0.1631778470256145,142
2025-05-14,0.14094356347877476,142
2025-05-15,0.2587328763534937,142
2025-05-16,0.13505074487993277,142
2025-05-19,0.0955361689554078,142
2025-05-20,0.1632281413522049,142
2025-05-21,0.2150061505770226,142
2025-05-22,0.180051593596694,142
2025-05-23,0.11673941880714432,142
2025-05-27,0.10398980701647768,142
2025-05-28,0.16524410560970348,142
2025-05-29,0.1977007110360422,142
2025-05-30,0.09883463854096161,142
2025-06-02,0.07456762596109315,142
2025-06-03,0.16015406844864255,142
2025-06-04,0.06764377366714797,142
