date,label,arm,g
2017-06-15,z,treatment_u,-0.12936928416199586
2017-06-16,z,treatment_u,0.06986186738237016
2017-06-19,z,treatment_u,0.05205793991507286
2017-06-20,z,treatment_u,-0.14004989393214615
2017-06-21,z,treatment_u,-0.08202689751417692
2017-06-22,z,treatment_u,-0.31544820328791895
2017-06-23,z,treatment_u,-0.2132832079859988
2017-06-26,z,treatment_u,-0.2615015171099986
2017-06-27,z,treatment_u,0.044058856307450385
2017-06-28,z,treatment_u,0.08690669377221882
2017-06-29,z,treatment_u,0.18661529670270374
2017-06-30,z,treatment_u,0.4198540105162394
2017-07-03,z,treatment_u,0.4414833581370694
2017-07-05,z,treatment_u,0.33000509921003984
2017-07-06,z,treatment_u,0.26586446905094435
2017-07-07,z,treatment_u,0.24812677662404226
2017-07-10,z,treatment_u,0.2974479184731617
2017-07-11,z,treatment_u,0.12603819352980905
2017-07-12,z,treatment_u,0.012411726185021232
2017-07-13,z,treatment_u,-0.00964037058270791
2017-07-14,z,treatment_u,0.08218978466656165
2017-07-17,z,treatment_u,-0.06602947480765294
2017-07-18,z,treatment_u,-0.1037838713390281
2017-07-19,z,treatment_u,-0.23101182056418712
2017-07-20,z,treatment_u,-0.06216548684294249
2017-07-21,z,treatment_u,-0.14128949156849033
2017-07-24,z,treatment_u,-0.21591531070019268
2017-07-25,z,treatment_u,-0.1671283324509609
2017-07-26,z,treatment_u,-0.012092535034284348
2017-07-27,z,treatment_u,0.11486688186609395
2017-07-28,z,treatment_u,0.1626849215376908
2017-07-31,z,treatment_u,0.039338889808509206
2017-08-01,z,treatment_u,0.010973314416290843
2017-08-02,z,treatment_u,0.15792058626869768
2017-08-03,z,treatment_u,0.1076207214064012
2017-08-04,z,treatment_u,0.08299210189004107
2017-08-07,z,treatment_u,-0.0063506403604766766
2017-08-08,z,treatment_u,0.08164694765501898
2017-08-09,z,treatment_u,0.06708880526565883
2017-08-10,z,treatment_u,0.12213147218633105
2017-08-11,z,treatment_u,0.14494750076436735
2017-08-14,z,treatment_u,-0.011897552044918276
2017-08-15,z,treatment_u,0.17316989825137888
2017-08-16,z,treatment_u,0.14707438038252837
2017-08-17,z,treatment_u,0.23274364199872047
2017-08-18,z,treatment_u,0.1949884188691507
2017-08-21,z,treatment_u,0.254647070600413
2017-08-22,z,treatment_u,0.05754624005734665
2017-08-23,z,treatment_u,0.4227041389298321
2017-08-24,z,treatment_u,0.4148417546401376
2017-08-25,z,treatment_u,0.11190601562343044
2017-08-28,z,treatment_u,0.3968012326454092
2017-08-29,z,treatment_u,0.3467994546346839
2017-08-30,z,treatment_u,0.09204896150156114
2017-08-31,z,treatment_u,0.27985372668977593
2017-09-01,z,treatment_u,0.32235310166892245
2017-09-05,z,treatment_u,0.22849646363312193
2017-09-06,z,treatment_u,0.24515254172838302
2017-09-07,z,treatment_u,0.21300622356622168
2017-09-08,z,treatment_u,0.3010323384217548
2017-09-11,z,treatment_u,0.30378830276980145
2017-09-12,z,treatment_u,0.4066199672703956
2017-09-13,z,treatment_u,0.3837831608861449
2017-09-14,z,treatment_u,0.3735539590506019
2017-09-15,z,treatment_u,0.4634747558422301
2017-09-18,z,treatment_u,0.3956322322498538
2017-09-19,z,treatment_u,0.2842881443303614
2017-09-20,z,treatment_u,0.29693998255373805
2017-09-21,z,treatment_u,0.30018002124242144
2017-09-22,z,treatment_u,0.187400589520377
2017-09-25,z,treatment_u,0.4301540740307685
2017-09-26,z,treatment_u,0.4430872287826071
2017-09-27,z,treatment_u,0.4305673995951549
2017-09-28,z,treatment_u,0.4146900148512943
2017-09-29,z,treatment_u,0.3462844627911573
2017-10-02,z,treatment_u,0.281617287479735
2017-10-03,z,treatment_u,0.13244677629453813
2017-10-04,z,treatment_u,0.03975352098494109
2017-10-05,z,treatment_u,0.07720486906009882
2017-10-06,z,treatment_u,0.002547496275250331
2017-10-09,z,treatment_u,0.04020146014454582
2017-10-10,z,treatment_u,0.0182418392506317
2017-10-11,z,treatment_u,-0.0011035352073741535
2017-10-12,z,treatment_u,0.004915521776368242
2017-10-13,z,treatment_u,-0.06480790243400349
2017-10-16,z,treatment_u,-0.22345801766982767
2017-10-17,z,treatment_u,-0.24350737169170594
2017-10-18,z,treatment_u,-0.1977661769735043
2017-10-19,z,treatment_u,-0.24892050207596064
2017-10-20,z,treatment_u,-0.26915298289340334
2017-10-23,z,treatment_u,-0.1888697424860687
2017-10-24,z,treatment_u,-0.23453649952509595
2017-10-25,z,treatment_u,-0.15428874803389742
2017-10-26,z,treatment_u,-0.21054604235675892
2017-10-27,z,treatment_u,-0.17128471710674809
2017-10-30,z,treatment_u,-0.10606733715066298
2017-10-31,z,treatment_u,-0.14671005293094747
