fold,date,ticker,recipe_score,regime
1,2019-04-01,AAPL,-0.6183126278592568,BULL_CALM
1,2019-04-01,ABBV,0.6549588509514277,BULL_CALM
1,2019-04-01,ABT,0.39965038641651207,BULL_CALM
1,2019-04-01,ADBE,2.0119606777347845,BULL_CALM
1,2019-04-01,ADI,-0.7957965618278731,BULL_CALM
1,2019-04-01,AEP,1.3693334428645432,BULL_CALM
1,2019-04-01,AES,1.2791543233731983,BULL_CALM
1,2019-04-01,AGCO,-0.9254459354093731,BULL_CALM
1,2019-04-01,AIG,-0.7597056728748374,BULL_CALM
1,2019-04-01,AKAM,-0.22624075366024085,BULL_CALM
1,2019-04-01,ALL,-1.6423486770722824,BULL_CALM
1,2019-04-01,ALNY,-0.6452632453874212,BULL_CALM
1,2019-04-01,AMAT,-0.8424814986059636,BULL_CALM
1,2019-04-01,AMD,1.3689236402553608,BULL_CALM
1,2019-04-01,AMGN,-1.1906946774711589,BULL_CALM
1,2019-04-01,AMT,2.121221059665377,BULL_CALM
1,2019-04-01,AMZN,1.281976881346882,BULL_CALM
1,2019-04-01,ANET,0.5219981562566723,BULL_CALM
1,2019-04-01,AON,0.7188984491554434,BULL_CALM
1,2019-04-01,APA,-2.0223993537195333,BULL_CALM
1,2019-04-01,APD,-1.3192833678095681,BULL_CALM
1,2019-04-01,APH,-0.5963932536925576,BULL_CALM
1,2019-04-01,APO,-1.69473085568583,BULL_CALM
1,2019-04-01,APPF,2.1023534580513497,BULL_CALM
1,2019-04-01,APTV,-0.8289100023837102,BULL_CALM
1,2019-04-01,ARE,0.29849476631836913,BULL_CALM
1,2019-04-01,ARES,-0.10370129669171224,BULL_CALM
1,2019-04-01,ASML,-1.2245020212448832,BULL_CALM
1,2019-04-01,ATI,-1.137570555437935,BULL_CALM
1,2019-04-01,AVB,1.0182651761093173,BULL_CALM
1,2019-04-01,AVGO,-0.36393084834891454,BULL_CALM
1,2019-04-01,AXP,-0.9445603110844798,BULL_CALM
1,2019-04-01,AYI,-0.027156448525379684,BULL_CALM
