run_date,ticker,run_id,run_type,n_candidates_that_date,fwd_20d,fwd_60d,win,panel_score,raw_score,rank_score,mu,sigma,expected_return,sector,active_scorer,selected,blocked_by,kelly_target_pct
2024-01-02,AAPL,2024-01-02-sim-43a4682e,sim,25,-0.00667962452726234,-0.07627668448968417,0,0.005108617711812258,1.0,0.2552447552447551,0.008292854421273508,0.04775462342983365,,,,0,,
2024-01-02,AMAT,2024-01-02-sim-43a4682e,sim,25,0.0643260235062657,0.3359461180975154,1,-0.005883370526134968,0.0,0.23891059526545622,0.010089506529013055,0.06799043116875066,,,,0,,
2024-01-02,ASML,2024-01-02-sim-43a4682e,sim,25,0.21327348666360701,0.35366567237217517,1,-0.024120498448610306,0.06450040251152389,0.2,0.008405199116128243,0.06633592134273542,,,,0,,
2024-01-02,CAT,2024-01-02-sim-43a4682e,sim,25,0.025964286581867446,0.2518533817524875,1,-0.008123628795146942,0.00673037154375751,0.2359093550261476,0.010089506529013055,0.06228097891632156,,,,0,,
2024-01-02,COST,2024-01-02-sim-43a4682e,sim,25,0.06797814310170969,0.12599704509744147,1,0.009740564972162247,0.3305920591645045,0.2747320061255743,0.008292854421273508,0.05898975370551332,,,,0,,
2024-01-02,GE,2024-01-02-sim-43a4682e,sim,25,0.051369642071304566,0.39364824533134013,1,0.009824680164456367,2.0,0.2747320061255743,0.010089506529013055,0.05696734506052805,,,,0,,
2024-01-02,GLD,2024-01-02-sim-43a4682e,sim,25,-0.011902287426236224,0.07864932835566552,0,0.011513528414070606,22.786398264229966,0.2747320061255743,0.009661567259184656,0.007908092511789784,,,,0,,
2024-01-02,GOOG,2024-01-02-sim-43a4682e,sim,25,0.016050483894739287,0.09100026634000291,1,-0.0222056545317173,0.0,0.22438278348263055,0.007838150510942011,0.05868210011189856,,,,0,,
2024-01-02,JPM,2024-01-02-sim-43a4682e,sim,25,0.013249644090167711,0.16399349674815245,1,-0.020636480301618576,-0.03127001224002844,0.22438278348263055,0.007838150510942011,0.03080325429052465,,,,0,,
2024-01-02,MA,2024-01-02-sim-43a4682e,sim,25,0.0648036108668586,0.14145865178988126,1,0.007260781712830067,0.0,0.2604970008568981,0.008292854421273508,0.03883026564916297,,,,0,,
2024-01-02,MRK,2024-01-02-sim-43a4682e,sim,25,0.06658425519045097,0.16522429739870925,1,0.02718658745288849,1.0,0.3392857142857143,0.011651700187969655,0.05167746154905765,,,,0,,
2024-01-02,MU,2024-01-02-sim-43a4682e,sim,25,0.0414136970338943,0.4317464735591525,1,-0.01767125353217125,2.0,0.22438278348263055,0.010350729618299095,0.06788468363854218,,,,0,,
2024-01-02,NFLX,2024-01-02-sim-43a4682e,sim,25,0.20407686521603408,0.29632878734311907,1,-0.005236392375081778,0.3061616069212858,0.23891059526545622,0.00835547127801202,0.05759874221540486,,,,0,,
2024-01-02,NVDA,2024-01-02-sim-43a4682e,sim,25,0.27734183197972073,0.8758512743217841,1,0.02719048224389553,2.0,0.3392857142857143,0.007994022740197428,0.07639344206313527,,,,1,,
2024-01-02,OXY,2024-01-02-sim-43a4682e,sim,25,-0.041298910470356276,0.08226475752659468,0,-0.014631249941885471,-0.13333333333333333,0.22438278348263055,0.010132331428320806,0.04192749736507699,,,,0,,
2024-01-02,PLTR,2024-01-02-sim-43a4682e,sim,25,-0.029553665462782264,0.3878166667529459,0,-0.005553789436817169,1.5950463985658296,0.23891059526545622,0.015530656008163583,0.11757837049952626,,,,0,,
2024-01-02,RTX,2024-01-02-sim-43a4682e,sim,25,0.06923259142650151,0.14444962898690017,1,-0.005079773720353842,0.16663863321580866,0.23891059526545622,0.009876233750536837,0.04290983277306499,,,,0,,
2024-01-02,SHOP,2024-01-02-sim-43a4682e,sim,25,0.08451845738875274,0.045239011987749045,1,-0.03475753217935562,0.4,0.0,-0.010207600422271947,0.11295469110508369,,,,0,,
2024-01-02,SPOT,2024-01-02-sim-43a4682e,sim,25,0.14062501389091264,0.3977753688072694,1,0.00796831026673317,0.5941062417743894,0.26197541331072494,0.010089506529013055,0.07290838506067453,,,,0,,
2024-01-02,TSLA,2024-01-02-sim-43a4682e,sim,25,-0.2460752167031225,-0.2923677860806453,0,-0.04065307229757309,-0.6812640508932537,0.0,0.007624877732465793,0.11575567276226154,,,,0,,
2024-01-02,TSM,2024-01-02-sim-43a4682e,sim,25,0.11257756764108717,0.33999807630747214,1,-0.005619911011308432,-0.09063124050182934,0.23891059526545622,0.01054421043934455,0.05409219086519209,,,,0,,
2024-01-02,VRT,2024-01-02-sim-43a4682e,sim,25,0.23422442121747356,0.7894390723298039,1,0.04764475300908089,0.0,0.44481605351170567,0.010800308117128515,0.08883803068137455,,,,1,,
2024-01-02,XLF,2024-01-02-sim-43a4682e,sim,25,0.02648305202465373,0.1154661229914622,1,-0.009292635135352612,2.0,0.22555317630264096,0.00835547127801202,0.0271102601542801,,,,0,,
2024-01-02,XLK,2024-01-02-sim-43a4682e,sim,25,0.05463076238262432,0.11112890290089572,1,-0.010879523120820522,2.0,0.22438278348263055,0.008099373600228056,0.03838062400973869,,,,0,,
2024-01-02,XLU,2024-01-02-sim-43a4682e,sim,25,-0.04357975466242092,0.021789907017570442,0,-0.005756698083132505,2.1408665066436248,0.23891059526545622,0.010393554517606846,0.035469639408980964,,,,0,,
2024-01-03,AAPL,2024-01-03-sim-0237fd46,sim,23,0.014165539269207938,-0.07717775425076323,1,0.005108617711812258,1.0,0.2552447552447551,0.007124587153841597,0.04775462342983365,,,,0,,
2024-01-03,AMAT,2024-01-03-sim-0237fd46,sim,23,0.1024760949831176,0.37794656088851397,1,-0.0063585140742361546,22.00377017879947,0.23891059526545622,0.008921239261581147,0.06799043116875066,,,,0,,
2024-01-03,ASML,2024-01-03-sim-0237fd46,sim,23,0.26610458821032323,0.41170368241482524,1,-0.023367736488580704,0.028371535186036384,0.22438278348263055,0.009375943171912645,0.06674203598668034,,,,0,,
2024-01-03,CAT,2024-01-03-sim-0237fd46,sim,23,0.08227230268286334,0.27942316515066334,1,-0.008186654187738895,-21.323386580277077,0.2359093550261476,0.008921239261581147,0.06315616769474368,,,,0,,
2024-01-03,COST,2024-01-03-sim-0237fd46,sim,23,0.09274221377859493,0.11873921962971057,1,0.007723561953753233,0.3305920591645045,0.26197541331072494,0.007124587153841597,0.05898975370551332,,,,0,,
2024-01-03,GE,2024-01-03-sim-0237fd46,sim,23,0.09148796747105448,0.41350960987211094,1,0.017610419541597366,2.0,0.28291070382458783,0.008050463196704523,0.05696734506052805,,,,0,,
